aX,aY,aZ,gX,gY,gZ
0.437,-0.224,-0.881,221.558,-125.122,70.679
0.453,-0.156,-0.824,249.023,-140.442,80.750
0.476,-0.081,-0.648,263.489,-142.456,85.510
0.488,-0.058,-0.559,280.823,-137.146,94.543
0.562,0.030,-0.375,283.630,-136.902,98.572
0.588,0.104,-0.304,284.302,-150.208,106.445
0.575,0.243,-0.069,285.156,-155.823,112.488
0.555,0.286,0.050,289.490,-157.104,122.192
0.490,0.372,0.203,290.161,-152.771,121.643
0.484,0.428,0.254,296.265,-138.550,106.384
0.553,0.477,0.422,306.580,-130.127,96.985
0.559,0.387,0.670,327.209,-121.765,88.135
0.560,0.342,0.750,320.740,-122.864,88.013
0.563,0.329,0.924,313.110,-129.211,89.111
0.536,0.343,1.040,298.218,-179.138,92.651
0.372,0.369,1.151,287.781,-192.383,94.055
0.277,0.409,1.255,271.851,-203.979,90.454
0.090,0.485,1.476,270.508,-196.594,81.604
0.046,0.441,1.608,258.301,-121.887,54.321
0.031,0.278,1.697,225.952,-74.585,42.908
0.052,0.283,1.625,116.089,-11.902,20.752
0.151,0.441,1.312,71.350,6.714,5.737
0.235,0.484,1.177,39.185,31.555,-17.883
0.380,0.444,1.049,39.612,30.823,-21.484
0.432,0.387,0.971,38.513,14.404,-18.494
0.441,0.377,0.926,33.997,5.676,-14.832
0.456,0.392,0.817,27.954,-9.094,-8.606
0.462,0.398,0.781,40.771,-18.677,-2.930
0.461,0.363,0.777,52.612,-23.499,0.305
0.448,0.327,0.818,75.439,-35.583,7.080
0.410,0.239,0.918,79.834,-42.053,11.230
0.341,0.220,0.948,68.970,-49.866,19.836
0.307,0.241,0.940,60.608,-49.072,21.484
0.263,0.265,0.903,53.650,-37.354,16.968
0.254,0.256,0.880,56.091,-19.958,7.812
0.476,0.269,0.952,58.838,-12.878,4.822
0.721,0.272,1.296,62.256,-31.677,20.813
0.197,0.067,1.656,36.560,-72.144,21.606
0.057,0.113,1.346,1.709,-52.063,3.296
0.177,0.271,0.958,16.541,11.902,2.991
0.230,0.270,0.894,38.940,54.749,4.333
0.238,0.213,0.818,31.128,48.645,0.916
0.280,0.214,0.818,9.766,34.607,-7.446
0.347,0.195,0.854,9.277,23.743,-8.789
0.353,0.130,0.953,23.926,0.122,-2.136
0.329,0.117,0.992,26.550,-7.690,4.761
0.270,0.148,1.021,10.315,-15.869,10.742
0.260,0.176,1.006,-2.991,-8.301,3.845
0.278,0.180,0.991,-4.944,-1.221,0.183
0.292,0.169,0.976,-6.348,8.911,-3.845
0.315,0.172,0.918,-6.348,11.047,-3.906
0.320,0.182,0.881,-2.686,10.315,-1.465
0.337,0.191,0.848,0.000,8.301,-0.732
0.349,0.178,0.860,2.441,2.136,-1.465
0.361,0.152,0.890,2.319,0.000,-1.038
0.354,0.160,0.928,0.000,-0.854,2.625
0.341,0.165,0.929,-1.221,-1.282,3.906
0.325,0.181,0.905,-0.916,-1.404,4.089
0.322,0.184,0.905,0.244,-1.343,4.639
0.329,0.184,0.940,0.061,-1.770,4.517
0.338,0.180,0.974,-1.770,-2.380,4.456
0.326,0.185,1.000,-2.686,-2.686,4.517
0.305,0.203,0.976,-1.221,-0.366,4.944
0.288,0.205,0.962,0.549,1.465,3.784
0.269,0.214,0.927,0.061,2.502,2.625
0.275,0.218,0.930,-2.563,4.089,0.183
0.275,0.213,0.945,-4.272,2.747,-1.648
0.278,0.214,0.938,-4.211,1.099,-5.005
0.296,0.203,0.916,-2.075,1.648,-5.554
0.316,0.191,0.868,1.160,2.625,-5.676
0.343,0.184,0.871,2.563,5.310,-4.089
0.384,0.155,0.932,2.136,4.700,-3.052
0.387,0.150,0.954,-0.427,2.686,-0.244
0.374,0.164,0.949,-0.366,2.808,1.343
0.346,0.173,0.905,1.709,2.075,2.991
0.334,0.176,0.893,0.732,0.061,2.808
0.323,0.183,0.906,-0.366,-0.854,2.441
0.321,0.185,0.923,0.305,-1.221,1.648
0.311,0.184,0.956,1.160,-0.793,1.282
0.301,0.187,0.958,0.244,-0.244,1.038
0.290,0.206,0.945,-1.038,0.000,0.977
0.289,0.209,0.954,-2.441,0.244,0.427
0.287,0.210,0.945,-2.380,1.709,-1.221
0.309,0.209,0.914,-0.488,3.967,-1.709
0.326,0.196,0.909,2.197,5.493,-2.319
0.347,0.182,0.899,1.282,4.395,-2.625
0.375,0.176,0.924,0.427,2.869,-1.404
0.375,0.167,0.950,0.610,1.465,-0.244
0.344,0.171,0.954,-0.549,-0.366,1.465
0.334,0.177,0.940,-0.488,1.892,1.587
0.329,0.178,0.911,-0.549,1.831,1.160
0.323,0.181,0.906,-2.441,0.244,0.244
0.317,0.193,0.903,-2.441,0.305,-0.122
0.325,0.190,0.912,-0.183,1.282,-0.488
0.336,0.174,0.945,0.000,0.793,-0.549

-0.001,-0.468,3.359,-35.645,42.786,-9.827
-0.112,-0.606,3.857,-257.507,88.135,27.588
-0.501,-0.695,3.871,-547.852,187.012,-11.902
-0.395,-0.441,2.556,-663.086,231.750,-83.801
-0.124,-0.095,1.802,-798.706,255.676,-240.906
