aX,aY,aZ,gX,gY,gZ
0.068,-0.017,1.021,4.944,-0.183,-3.052
0.078,-0.015,1.027,5.676,1.587,-0.977
0.078,-0.007,1.028,6.470,3.662,1.465
0.062,0.022,1.011,6.836,4.761,2.075
0.054,0.027,0.996,5.127,3.479,1.343
0.055,0.025,0.987,3.418,0.793,0.610
0.058,0.020,0.994,2.441,-1.648,0.000
0.069,0.007,1.018,3.235,-3.174,-0.671
0.070,0.005,1.025,4.211,-0.916,0.610
0.060,0.010,1.020,3.906,1.099,1.160
0.054,0.014,1.012,3.052,3.174,1.282
0.048,0.013,0.997,3.052,2.930,0.916
0.048,0.011,0.991,4.395,0.854,0.183
0.050,0.007,0.994,5.066,-0.122,0.061
0.051,0.004,0.999,4.822,-0.854,-0.610
0.055,-0.002,1.010,3.540,-1.343,-0.732
0.055,-0.003,1.018,0.244,-1.282,-0.916
0.058,-0.005,1.016,-0.305,-0.305,-1.099
0.055,-0.003,1.001,0.427,2.075,-1.099
0.053,-0.001,0.993,1.587,2.441,-0.793
0.053,0.001,0.986,1.770,1.831,-0.610
0.055,0.001,0.990,2.258,0.977,-0.610
0.062,0.000,1.004,2.319,0.916,-0.549
0.062,0.001,1.011,1.526,1.892,0.244
0.058,0.003,1.010,0.549,2.747,0.549
0.057,0.001,0.991,-0.977,3.479,0.122
0.059,0.002,0.985,-1.404,2.441,-0.305
0.061,0.009,0.989,-0.732,0.061,-0.916
0.060,0.015,0.991,0.732,-0.366,-1.526
0.059,0.012,0.993,0.610,-0.671,-1.709
0.060,0.005,0.999,-0.061,-1.343,-1.953
0.069,-0.010,1.014,-0.183,-1.221,-1.648
0.068,-0.009,1.017,0.549,0.305,0.427
0.058,0.001,1.004,1.221,1.526,0.916
0.054,0.007,0.992,0.977,1.099,0.061
0.056,0.006,0.992,0.061,-1.404,-1.038
0.060,-0.001,1.000,0.366,-1.770,-1.160
0.060,-0.003,1.002,1.343,-1.160,-1.038
0.061,-0.010,1.003,0.793,-0.854,-0.854
0.062,-0.009,1.007,-0.977,-0.793,-0.122
0.060,-0.004,1.005,-1.160,-0.061,0.122
0.057,0.004,0.991,0.549,1.587,-0.183
0.055,0.008,0.987,2.136,1.648,-0.854
0.057,0.006,0.986,2.014,1.221,-1.526
0.059,0.004,0.988,1.221,0.122,-2.136
0.066,-0.002,0.995,0.549,0.183,-1.892
0.065,-0.002,0.994,-0.610,1.160,-0.916
0.060,-0.002,0.986,-0.854,1.526,-0.854
0.067,-0.013,0.986,-1.465,0.061,-1.160
0.072,-0.013,0.994,0.122,-0.916,0.061
0.063,0.002,1.003,1.953,0.244,0.671
0.057,0.008,1.000,4.028,2.563,0.488
0.055,0.007,0.997,3.296,2.075,-0.061
0.063,-0.004,1.001,1.282,0.366,-1.221
0.068,-0.010,1.003,-0.183,-0.916,-1.160
0.070,-0.013,1.008,-0.366,-1.160,-0.610
0.068,-0.010,1.008,0.977,0.793,0.427
0.063,-0.000,1.001,1.709,1.709,0.732
0.056,0.005,0.999,1.160,0.854,0.549
0.057,0.004,1.001,-0.732,-1.465,-0.549
0.061,-0.007,1.007,-1.465,-1.709,-0.977
0.065,-0.014,1.008,-1.221,-0.793,-0.488
0.065,-0.014,1.003,-0.305,0.122,0.244
0.064,-0.012,0.999,1.526,1.770,0.916

-0.372,1.557,1.295,93.384,52.246,20.081
-0.470,1.793,1.284,109.253,81.726,-15.137
-0.641,2.047,1.158,91.370,89.172,-44.739
-0.740,2.018,1.032,10.132,73.853,-121.033
-0.805,1.365,0.735,-37.781,47.913,-164.185
-0.562,0.176,0.518,-134.155,-24.231,-219.788
-0.423,-0.457,0.513,-168.152,-90.942,-221.619
-0.118,-1.493,0.753,-141.418,-114.258,-208.862
0.016,-1.816,0.944,-33.386,-122.192,-152.527
0.176,-2.141,1.380,12.024,-109.619,-119.568
0.228,-2.068,1.579,34.729,-73.975,-70.435
0.347,-1.870,1.764,17.883,-60.730,-59.692
0.414,-1.800,1.774,-27.466,-26.550,-31.555
0.337,-1.498,1.624,-36.255,4.883,-7.202
0.108,-1.046,1.298,-11.841,79.407,28.137
0.024,-0.851,1.119,8.057,117.126,36.743
-0.039,-0.572,0.792,3.906,115.479,36.133
-0.034,-0.507,0.670,-13.062,81.055,31.982
0.010,-0.460,0.563,-20.020,56.763,29.907
0.041,-0.453,0.571,-21.606,16.541,30.212
0.119,-0.439,0.643,-19.470,2.563,33.997
0.125,-0.316,0.669,-15.442,-16.602,46.143
0.097,-0.243,0.658,-2.686,-23.560,55.237
0.062,-0.149,0.665,3.967,-27.588,57.434
0.044,-0.086,0.703,12.451,-42.664,65.369
0.019,0.053,0.842,15.320,-49.866,66.650
0.022,0.157,1.013,19.592,-58.716,62.561
0.006,0.197,1.083,18.799,-49.377,60.486
-0.055,0.249,1.145,16.357,-39.001,57.129
-0.064,0.254,1.146,12.634,-19.226,47.302
-0.073,0.264,1.147,13.611,-12.939,45.959
-0.085,0.283,1.160,24.170,0.244,45.837
-0.094,0.288,1.171,31.616,9.949,43.823
-0.059,0.250,1.140,35.278,25.635,37.170
-0.040,0.221,1.129,16.357,24.231,35.706
-0.013,0.193,1.119,2.136,19.348,36.194
